010.000.000.000 - 010.255.255.255 , 100 , ADDBOGONS
100.064.000.000 - 100.127.255.255 , 100 , ADDBOGONS
127.000.000.000 - 127.255.255.255 , 100 , ADDBOGONS
169.254.000.000 - 169.254.255.255 , 100 , ADDBOGONS
172.016.000.000 - 172.031.255.255 , 100 , ADDBOGONS
192.000.000.000 - 192.000.000.255 , 100 , ADDBOGONS
192.168.000.000 - 192.168.255.255 , 100 , ADDBOGONS
224.000.000.000 - 239.255.255.255 , 100 , ADDBOGONS
000.000.000.000 - 000.255.255.255 , 100 , CPBL
001.000.164.165 - 001.000.164.165 , 100 , CPBL
001.001.220.166 - 001.001.220.166 , 100 , CPBL
001.002.189.089 - 001.002.189.089 , 100 , CPBL
001.009.164.197 - 001.009.164.197 , 100 , CPBL
001.009.211.178 - 001.009.211.178 , 100 , CPBL
001.010.016.000 - 001.010.031.255 , 100 , CPBL
001.012.037.006 - 001.012.037.006 , 100 , CPBL
001.012.048.131 - 001.012.048.131 , 100 , CPBL
001.012.070.096 - 001.012.070.096 , 100 , CPBL
001.013.158.023 - 001.013.158.023 , 100 , CPBL
001.014.064.225 - 001.014.064.225 , 100 , CPBL
001.015.052.154 - 001.015.052.154 , 100 , CPBL
001.019.000.000 - 001.019.255.255 , 100 , CPBL
001.020.175.122 - 001.020.175.122 , 100 , CPBL
001.020.178.157 - 001.020.178.157 , 100 , CPBL
001.022.114.164 - 001.022.114.164 , 100 , CPBL
001.024.016.003 - 001.024.016.003 , 100 , CPBL
001.024.016.022 - 001.024.016.022 , 100 , CPBL
001.024.016.030 - 001.024.016.030 , 100 , CPBL
001.024.016.044 - 001.024.016.044 , 100 , CPBL
001.024.016.048 - 001.024.016.048 , 100 , CPBL
001.024.016.054 - 001.024.016.054 , 100 , CPBL
001.024.016.065 - 001.024.016.065 , 100 , CPBL
001.024.016.073 - 001.024.016.073 , 100 , CPBL
001.024.016.079 - 001.024.016.079 , 100 , CPBL
001.024.016.090 - 001.024.016.090 , 100 , CPBL
001.024.016.098 - 001.024.016.098 , 100 , CPBL
001.024.016.115 - 001.024.016.115 , 100 , CPBL
001.024.016.125 - 001.024.016.125 , 100 , CPBL
001.024.016.128 - 001.024.016.128 , 100 , CPBL
001.024.016.153 - 001.024.016.153 , 100 , CPBL
001.024.016.155 - 001.024.016.155 , 100 , CPBL
001.024.016.159 - 001.024.016.159 , 100 , CPBL
001.024.016.165 - 001.024.016.165 , 100 , CPBL
001.027.251.252 - 001.027.251.252 , 100 , CPBL
001.029.221.052 - 001.029.221.052 , 100 , CPBL
001.030.016.218 - 001.030.016.218 , 100 , CPBL
001.030.199.218 - 001.030.199.218 , 100 , CPBL
001.030.216.134 - 001.030.216.134 , 100 , CPBL
001.032.128.000 - 001.032.191.255 , 100 , CPBL
001.032.207.234 - 001.032.207.234 , 100 , CPBL
001.033.120.129 - 001.033.120.129 , 100 , CPBL
001.034.018.044 - 001.034.018.044 , 100 , CPBL
001.034.065.133 - 001.034.065.133 , 100 , CPBL
001.034.077.238 - 001.034.077.238 , 100 , CPBL
001.034.094.221 - 001.034.094.221 , 100 , CPBL
001.034.143.217 - 001.034.143.217 , 100 , CPBL
001.034.230.160 - 001.034.230.160 , 100 , CPBL
001.034.244.118 - 001.034.244.118 , 100 , CPBL
001.034.254.107 - 001.034.254.107 , 100 , CPBL
001.038.052.004 - 001.038.052.004 , 100 , CPBL
001.038.220.207 - 001.038.220.207 , 100 , CPBL
001.040.062.100 - 001.040.062.100 , 100 , CPBL
001.052.180.243 - 001.052.180.243 , 100 , CPBL
001.053.196.083 - 001.053.196.083 , 100 , CPBL
001.054.063.081 - 001.054.063.081 , 100 , CPBL
001.055.014.086 - 001.055.014.086 , 100 , CPBL
001.055.042.189 - 001.055.042.189 , 100 , CPBL
001.058.177.155 - 001.058.177.155 , 100 , CPBL
001.063.226.086 - 001.063.226.086 , 100 , CPBL
001.064.080.221 - 001.064.080.221 , 100 , CPBL
001.064.106.048 - 001.064.106.048 , 100 , CPBL
001.071.143.145 - 001.071.143.145 , 100 , CPBL
001.082.133.130 - 001.082.133.130 , 100 , CPBL
001.083.125.055 - 001.083.125.055 , 100 , CPBL
001.085.042.195 - 001.085.042.195 , 100 , CPBL
001.086.233.005 - 001.086.233.005 , 100 , CPBL
001.092.121.006 - 001.092.121.006 , 100 , CPBL
001.092.151.036 - 001.092.151.036 , 100 , CPBL
001.094.193.045 - 001.094.193.045 , 100 , CPBL
001.095.067.068 - 001.095.067.068 , 100 , CPBL
001.095.085.151 - 001.095.085.151 , 100 , CPBL
001.095.091.114 - 001.095.091.114 , 100 , CPBL
001.095.155.126 - 001.095.155.126 , 100 , CPBL
001.095.172.030 - 001.095.172.030 , 100 , CPBL
001.095.214.245 - 001.095.214.245 , 100 , CPBL
001.116.061.217 - 001.116.061.217 , 100 , CPBL
